Contract Name;Strike;Last Price;Bid;Ask
TSLA240920C00005000;5;166.5;160.75;162.55
TSLA240920C00010000;10;169.65;156.65;157.8
TSLA240920C00020000;20;158.7;146.85;148
TSLA240920C00025000;25;186.08;168.35;169.15
TSLA240920C00030000;30;212;158.2;159.3
TSLA240920C00035000;35;144.9;131.7;132.8
TSLA240920C00040000;40;140.5;127.6;128.95
TSLA240920C00045000;45;211.05;166.95;170
TSLA240920C00050000;50;139;117.4;118.5
TSLA240920C00055000;55;208.5;129.85;131.6
TSLA240920C00060000;60;185.33;179.65;180.75
TSLA240920C00065000;65;193.25;185.5;186.45
TSLA240920C00070000;70;192;143.35;147.1
TSLA240920C00075000;75;99.5;93.75;94.75
TSLA240920C00080000;80;94.75;90.25;91.5
TSLA240920C00085000;85;96.34;84.5;85.6
TSLA240920C00090000;90;92.2;80.8;82.1
TSLA240920C00095000;95;87.19;75.45;76.45
TSLA240920C00100000;100;74.55;71.95;72.3
TSLA240920C00105000;105;77.85;67.6;68.2
TSLA240920C00110000;110;74.91;63.7;64.45
TSLA240920C00115000;115;64.35;59.3;59.65
TSLA240920C00120000;120;67.63;55.15;55.5
TSLA240920C00125000;125;54.9;51.55;51.95
TSLA240920C00130000;130;48.9;47.65;48
TSLA240920C00135000;135;52.7;44.1;44.6
TSLA240920C00140000;140;41.4;41.15;41.6
TSLA240920C00145000;145;38.4;37.4;37.7
TSLA240920C00150000;150;35.6;34.55;34.9
TSLA240920C00155000;155;34.15;31.6;31.85
TSLA240920C00160000;160;31.65;28.65;29.25
TSLA240920C00165000;165;26.7;25.8;26.1
TSLA240920C00170000;170;24;23.85;24.1
TSLA240920C00175000;175;22.05;21.65;21.9
TSLA240920C00180000;180;19.85;19.7;19.9
TSLA240920C00185000;185;18;17.7;17.9
TSLA240920C00190000;190;16.49;16.15;16.4
TSLA240920C00195000;195;15.3;14.55;14.7
TSLA240920C00200000;200;13.42;13;13.1
TSLA240920C00205000;205;13.1;12;12.1
TSLA240920C00210000;210;10.9;10.55;10.65
TSLA240920C00215000;215;10;9.65;9.75
TSLA240920C00220000;220;9;8.75;8.85
TSLA240920C00225000;225;8.05;7.95;8.05
TSLA240920C00230000;230;7.3;7.05;7.15
TSLA240920C00235000;235;6.45;6.35;6.45
TSLA240920C00240000;240;6.09;5.85;5.95
TSLA240920C00245000;245;5.4;5.35;5.4
TSLA240920C00250000;250;4.93;4.9;5
TSLA240920C00255000;255;4.55;4.35;4.45
TSLA240920C00260000;260;4.2;3.9;4
TSLA240920C00265000;265;3.75;3.6;3.65
TSLA240920C00270000;270;3.75;3.3;3.35
TSLA240920C00275000;275;3.33;3.1;3.2
TSLA240920C00280000;280;2.92;2.8;2.85
TSLA240920C00285000;285;2.8;2.59;2.64
TSLA240920C00290000;290;2.61;2.35;2.39
TSLA240920C00295000;295;2.41;2.25;2.29
TSLA240920C00300000;300;2.04;2.01;2.05
TSLA240920C00305000;305;2.06;1.91;1.94
TSLA240920C00310000;310;1.83;1.75;1.79
TSLA240920C00315000;315;1.8;1.67;1.7
TSLA240920C00320000;320;1.57;1.5;1.54
TSLA240920C00325000;325;1.5;1.42;1.45
TSLA240920C00330000;330;1.43;1.33;1.36
TSLA240920C00335000;335;1.34;1.25;1.29
TSLA240920C00340000;340;1.29;1.18;1.21
TSLA240920C00345000;345;1.18;1.11;1.14
TSLA240920C00350000;350;1.07;1.04;1.08
TSLA240920C00355000;355;1.1;1;1.02
TSLA240920C00360000;360;1.01;0.96;0.99
TSLA240920C00365000;365;0.96;0.89;0.92
TSLA240920C00370000;370;0.94;0.87;0.9
TSLA240920C00375000;375;0.88;0.82;0.85
TSLA240920C00380000;380;0.82;0.78;0.81
TSLA240920C00385000;385;0.8;0.74;0.77
TSLA240920C00390000;390;0.76;0.72;0.74
TSLA240920C00395000;395;0.73;0.68;0.71
TSLA240920C00400000;400;0.71;0.66;0.69
TSLA240920C00405000;405;0.68;0.63;0.66
TSLA240920C00410000;410;0.67;0.61;0.63
TSLA240920C00415000;415;0.62;0.59;0.61
TSLA240920C00420000;420;0.56;0.58;0.59
TSLA240920C00425000;425;0.7;0.55;0.57
TSLA240920C00430000;430;0.6;0.53;0.55
TSLA240920C00435000;435;0.55;0.52;0.55
TSLA240920C00440000;440;0.63;0.5;0.53
TSLA240920C00445000;445;0.63;0.48;0.51
TSLA240920C00450000;450;0.5;0.48;0.49
TSLA240920C00455000;455;0.47;0.45;0.48
TSLA240920C00460000;460;0.44;0.44;0.47
TSLA240920C00465000;465;0.46;0.43;0.46
TSLA240920C00470000;470;0.54;0.42;0.44
TSLA240920C00475000;475;0.5;0.41;0.43
TSLA240920C00480000;480;0.52;0.4;0.42
TSLA240920C00485000;485;0.45;0.38;0.41
TSLA240920C00490000;490;0.46;0.38;0.4
TSLA240920C00495000;495;0.45;0.37;0.39
TSLA240920C00500000;500;0.36;0.36;0.38
TSLA240920C00510000;510;0.38;0.34;0.36
TSLA240920C00520000;520;0.42;0.32;0.35
TSLA240920C00530000;530;0.34;0.31;0.33
TSLA240920C00540000;540;0.39;0.3;0.32
TSLA240920C00550000;550;0.39;0.28;0.3
TSLA240920C00560000;560;0.28;0.28;0.29
