Contract Name;Strike;Last Price;Bid;Ask
TSLA240920P00005000;5;0.02;0;0.01
TSLA240920P00010000;10;0.01;0;0.01
TSLA240920P00015000;15;0.01;0;0.02
TSLA240920P00020000;20;0.02;0.01;0.02
TSLA240920P00025000;25;0.04;0.03;0.04
TSLA240920P00030000;30;0.06;0.05;0.07
TSLA240920P00035000;35;0.07;0.08;0.1
TSLA240920P00040000;40;0.11;0.11;0.14
TSLA240920P00045000;45;0.14;0.16;0.19
TSLA240920P00050000;50;0.2;0.22;0.24
TSLA240920P00055000;55;0.26;0.3;0.32
TSLA240920P00060000;60;0.37;0.37;0.39
TSLA240920P00065000;65;0.47;0.48;0.5
TSLA240920P00070000;70;0.6;0.63;0.65
TSLA240920P00075000;75;0.7;0.8;0.82
TSLA240920P00080000;80;0.94;0.98;1.01
TSLA240920P00085000;85;1.17;1.26;1.28
TSLA240920P00090000;90;1.46;1.53;1.56
TSLA240920P00095000;95;1.69;1.89;1.91
TSLA240920P00100000;100;2.34;2.35;2.37
TSLA240920P00105000;105;2.87;2.9;2.94
TSLA240920P00110000;110;3.35;3.45;3.55
TSLA240920P00115000;115;4.02;4.35;4.4
TSLA240920P00120000;120;4.9;5.2;5.3
TSLA240920P00125000;125;5.95;6.1;6.2
TSLA240920P00130000;130;7.11;7.3;7.4
TSLA240920P00135000;135;8.81;8.6;8.7
TSLA240920P00140000;140;9.95;10.2;10.3
TSLA240920P00145000;145;11.31;11.55;11.65
TSLA240920P00150000;150;13.5;13.8;13.9
TSLA240920P00155000;155;14.7;15.6;15.7
TSLA240920P00160000;160;17.75;17.75;17.85
TSLA240920P00165000;165;20.3;20.5;20.6
TSLA240920P00170000;170;22.5;23;23.15
TSLA240920P00175000;175;24.57;25.5;25.75
TSLA240920P00180000;180;28.07;28.7;29
TSLA240920P00185000;185;30.15;31.65;31.9
TSLA240920P00190000;190;33.02;34.85;35.1
TSLA240920P00195000;195;36.7;37.75;38.55
TSLA240920P00200000;200;40.95;42;42.7
TSLA240920P00205000;205;43.85;44.8;45.5
TSLA240920P00210000;210;48.76;48.85;49.8
TSLA240920P00215000;215;51.08;52.9;53.85
TSLA240920P00220000;220;53.7;57.35;58.9
TSLA240920P00225000;225;59.4;61.15;62.15
TSLA240920P00230000;230;63.88;65.8;66.45
TSLA240920P00235000;235;68.38;69.65;70.35
TSLA240920P00240000;240;74.38;75.25;76
TSLA240920P00245000;245;69.8;79.35;80.1
TSLA240920P00250000;250;83.3;84.55;85.35
TSLA240920P00255000;255;84.25;88.45;89.4
TSLA240920P00260000;260;88.8;93.35;94.25
TSLA240920P00265000;265;90.59;98.2;99
TSLA240920P00270000;270;101;103.3;104.55
TSLA240920P00275000;275;100.01;108.15;109.6
TSLA240920P00280000;280;110.23;113.1;114.7
TSLA240920P00285000;285;96.6;117.95;119.7
TSLA240920P00290000;290;121.4;122.9;124.45
TSLA240920P00295000;295;124.5;127.35;129.05
TSLA240920P00300000;300;129.53;132.35;134.05
TSLA240920P00305000;305;126.9;137.25;139.05
TSLA240920P00310000;310;113.4;142.15;144.05
TSLA240920P00315000;315;115.3;147.8;149.4
TSLA240920P00320000;320;140.44;149.6;151.55
TSLA240920P00325000;325;140.79;121.9;123
TSLA240920P00330000;330;135;162.9;164.8
TSLA240920P00335000;335;151.7;142.1;143.9
TSLA240920P00340000;340;147.06;163.9;165.4
TSLA240920P00345000;345;150.75;176.55;178.4
TSLA240920P00350000;350;178.45;182.85;184.55
TSLA240920P00355000;355;165.63;0;0
TSLA240920P00360000;360;150.25;164.1;165.95
TSLA240920P00365000;365;177.55;172.1;173.8
TSLA240920P00370000;370;161.6;173.05;175
TSLA240920P00375000;375;185.63;0;0
TSLA240920P00380000;380;145.9;189.35;191.4
TSLA240920P00385000;385;170.58;0;0
TSLA240920P00390000;390;203.35;197.1;198.85
TSLA240920P00395000;395;218.6;227.85;229.5
TSLA240920P00400000;400;159.57;211.6;213.1
TSLA240920P00405000;405;153.6;184.65;187.4
TSLA240920P00410000;410;221.5;241.75;243.85
TSLA240920P00415000;415;245.35;247.2;249.05
TSLA240920P00420000;420;250.36;252.2;254
TSLA240920P00425000;425;255.37;257.8;259.55
TSLA240920P00430000;430;179.8;238.85;240.65
TSLA240920P00435000;435;186.05;243.8;245.5
TSLA240920P00440000;440;252.32;247.1;248.9
TSLA240920P00445000;445;250.7;277.35;279.2
TSLA240920P00450000;450;280.49;282.65;284.4
TSLA240920P00455000;455;285.49;287.05;289
TSLA240920P00460000;460;290.52;292.8;294.5
TSLA240920P00465000;465;222;212.1;214.9
TSLA240920P00470000;470;202.8;253;263
TSLA240920P00475000;475;221.78;228.4;231.7
TSLA240920P00480000;480;292.41;287.1;288.85
TSLA240920P00485000;485;224.1;260;270
TSLA240920P00490000;490;246.15;222.2;230.65
TSLA240920P00495000;495;238.34;251.5;261
TSLA240920P00500000;500;232.75;240.5;241.4
TSLA240920P00510000;510;253.5;269.3;273.1
TSLA240920P00520000;520;295.89;281;290.5
TSLA240920P00530000;530;285.45;262.7;269.25
TSLA240920P00550000;550;270.3;290;299.5
TSLA240920P00560000;560;362.05;392.45;394.15
